[2025-07-25 17:36:06] INFO     🧹 Cleaning Summary:
[2025-07-25 17:36:06] INFO      - Initial rows: 12604
[2025-07-25 17:36:06] INFO      - Valid country filter: 11445 (90.80%)
[2025-07-25 17:36:06] INFO      - Valid trade value filter: 1298 (10.30%)
[2025-07-25 17:36:06] INFO      - Valid kg-based UV rows: 1206 (9.57%)
[2025-07-25 17:36:06] WARNING  ⚠️ No non-kg units found in qty rows.
[2025-07-25 17:36:06] INFO     ✅ Finished cleaning: HS 391590, Year 2010, Flow M
[2025-07-25 17:36:36] INFO     log(UV)=0 present but no spike: 127 vs. neighbors avg 115.0 (share = 1.82%) — kept
[2025-07-25 17:36:36] INFO     📁 Saved histogram to C:/Users/laptop-kl/OneDrive - Universiteit Leiden/PlasticTradeFlow/tradeflow/cml_trade/cml_unit_value_alice\figures\hist_od_391590_2010_m_kg.pdf
[2025-07-25 17:36:36] INFO     📊 Outlier Detection on USD/kg (391590-2010, m):
[2025-07-25 17:36:36] INFO     - Total rows: 1206
[2025-07-25 17:36:36] INFO     - Z-score outliers: 102
[2025-07-25 17:36:36] INFO     - log(UV) = 0 rows: 22 (share = 1.82%), removed: 0
[2025-07-25 17:36:36] INFO     - ✅ Total dropped: 102 rows (8.458%)
[2025-07-25 17:36:36] INFO     - ✅ Remaining rows: 1104
[2025-07-25 17:48:13] INFO     📄 Found file: C:/Users/laptop-kl/OneDrive - Universiteit Leiden/PlasticTradeFlow/tradeflow/cml_trade/cml_unit_value/data_uncomtrade\split_by_hs_2010_numpy\H4_391590_2010.csv
[2025-07-25 17:48:13] INFO     🧹 Cleaning Summary:
[2025-07-25 17:48:13] INFO      - Initial rows: 12604
[2025-07-25 17:48:13] INFO      - Valid country filter: 11445 (90.80%)
[2025-07-25 17:48:13] INFO      - Valid trade value filter: 1298 (10.30%)
[2025-07-25 17:48:13] INFO      - Valid kg-based UV rows: 1206 (9.57%)
[2025-07-25 17:48:13] WARNING  ⚠️ No non-kg units found in qty rows.
[2025-07-25 17:48:13] INFO     ✅ Finished cleaning: HS 391590, Year 2010, Flow M
[2025-07-25 17:48:27] INFO     log(UV)=0 present but no spike: 127 vs. neighbors avg 115.0 (share = 1.82%) — kept
[2025-07-25 17:48:27] INFO     📁 Saved histogram to C:/Users/laptop-kl/OneDrive - Universiteit Leiden/PlasticTradeFlow/tradeflow/cml_trade/cml_unit_value_alice\figures\hist_od_391590_2010_m_kg.pdf
[2025-07-25 17:48:27] INFO     📊 Outlier Detection on USD/kg (391590-2010, m):
[2025-07-25 17:48:27] INFO     - Total rows: 1206
[2025-07-25 17:48:27] INFO     - Z-score outliers: 102
[2025-07-25 17:48:27] INFO     - log(UV) = 0 rows: 22 (share = 1.82%), removed: 0
[2025-07-25 17:48:27] INFO     - ✅ Total dropped: 102 rows (8.458%)
[2025-07-25 17:48:27] INFO     - ✅ Remaining rows: 1104
[2025-07-25 17:49:37] INFO     📄 Found file: C:/Users/laptop-kl/OneDrive - Universiteit Leiden/PlasticTradeFlow/tradeflow/cml_trade/cml_unit_value/data_uncomtrade\split_by_hs_2010_numpy\H4_010130_2010.csv
[2025-07-25 17:49:37] INFO     🧹 Cleaning Summary:
[2025-07-25 17:49:37] INFO      - Initial rows: 5
[2025-07-25 17:49:37] INFO      - Valid country filter: 5 (100.00%)
